Kashtira|139
Snake-Eye|131
Tenpai Dragon|69
Fire King|29
Salamangreat|27
Crystron|24
Memento|24
Sky Striker|18
Rescue-ACE|18
Purrely|17
Infernoid|12
Mitsurugi|12
Marincess|10
Gimmick Puppet|9
Edge Imp|9
Unchained|8
Runick|8
Swordsoul|7
Voiceless Voice|7
Branded|6
Ryzeal|5
Tearlaments|5
Maliss|5
Drytron|4
Melodious|4
Orcust|4
Centur-Ion|4
Exosister|3
Tenyi|3
Horus|3
Evil Eye|2
Yubel|2
Rikka|2
Raidraptor|2
Xyz|2
Yummy|2
Greed|1
Mannadium|1
Spellbook|1
Virtual World|1
Book of|1
Scareclaw|1
Shark|1
Plunder Patroll|1
Fiendsmith|1
Blackwing|1
Eldlich|1
Goblin|1
Manadome|1
Therion|1
Spright|1
Blue-Eyes|1
Dogmatika|1
