Kashtira|383
Labrynth|252
Floowandereeze|235
Purrely|233
Runick|208
Ryzeal|160
Unchained|123
Voiceless Voice|91
Melodious|55
Exosister|33
Centur-Ion|32
Sky Striker|30
Vanquish Soul|29
Fire King|28
Tenpai Dragon|28
Blue-Eyes|28
Rescue-ACE|28
Memento|25
Mathmech|24
Mitsurugi|22
Dinomorphia|20
Marincess|19
Spright|19
Ritual Beast|19
Silenforc|17
Traptrix|15
Swordsoul|14
Salamangreat|12
Tenyi|10
Virtual World|9
Evil Eye|9
Temple of the Kings|7
Crystron|7
Altergeist|7
Dogmatika|6
Mikanko|6
Tearlaments|6
Horus|4
Rikka|4
Blackwing|4
Raizeol|3
"""C"""|3
Paleozoic|3
True Draco|3
Subterror|3
Vaalmonica|3
Ryu-Ge|3
Infernoid|3
Lyrilusc|3
Dragonmaid|2
Ojama|2
Branded|2
Scrap|2
Hole|2
Dragon Tail|2
Dinowrestler|1
Scareclaw|1
Book of|1
Prank-Kids|1
The Weather|1
Magical Musket|1
Gravekeeper's|1
Invoked|1
Snake-Eye|1
Charmer|1
Generaider|1
Dark World|1
Endymion|1
Golden Land|1
Umi|1
D.D.|1
Solemn|1
Mekk-Knight|1
K9|1
Maliss|1
Jurrac|1
Ice Barrier|1
Mimighoul|1
Orcust|1
Regenesis|1
Argostars|1
Goblin|1
Yummy|1
