image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/31755044.jpg|Zoodiac Whiptail|100.00%|3.00
https://images.ygoprodeck.com/images/cards/77150143.jpg|Zoodiac Thoroughblade|100.00%|3.00
https://images.ygoprodeck.com/images/cards/4145852.jpg|Zoodiac Ramram|100.00%|3.00
https://images.ygoprodeck.com/images/cards/30680659.jpg|Water Enchantress of the Temple|100.00%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|100.00%|3.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|100.00%|3.00
https://images.ygoprodeck.com/images/cards/3285551.jpg|Rite of Aramesir|100.00%|3.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|100.00%|3.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|100.00%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|3.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|100.00%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|100.00%|3.00
https://images.ygoprodeck.com/images/cards/57103969.jpg|Fire Formation - Tenki|100.00%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/39733924.jpg|Full-Armored Xyz|100.00%|2.00
https://images.ygoprodeck.com/images/cards/78872731.jpg|Zoodiac Ratpier|100.00%|1.00
https://images.ygoprodeck.com/images/cards/4367330.jpg|Zoodiac Bunnyblast|100.00%|1.00
https://images.ygoprodeck.com/images/cards/2563463.jpg|Wandering Gryphon Rider|100.00%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|100.00%|1.00
https://images.ygoprodeck.com/images/cards/74725513.jpg|Qebehsenuef, Protection of Horus|100.00%|1.00
https://images.ygoprodeck.com/images/cards/83764718.jpg|Monster Reborn|100.00%|1.00
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|100.00%|1.00
https://images.ygoprodeck.com/images/cards/39568067.jpg|Fateful Adventure|100.00%|1.00
https://images.ygoprodeck.com/images/cards/11335209.jpg|Duamutef, Blessing of Horus|100.00%|1.00
https://images.ygoprodeck.com/images/cards/38745520.jpg|Dracoback, the Rideable Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|100.00%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|1.00
https://images.ygoprodeck.com/images/cards/73046708.jpg|Armored Xyz|100.00%|1.00
